Fecha,Rótulo,Localidad,IDProvincia,Precio Gasolina 95 E5,Precio Gasoleo A
2026-04-14,CEPSA LA MARINA,PALMAS DE GRAN CANARIA (LAS),35,1.459,1.549
2026-04-14,CEPSA PUERTO ROSARIO,PUERTO DEL ROSARIO,35,1.439,1.584
2026-04-14,DISA  EL CHARCO,PUERTO DEL ROSARIO,35,1.445,1.599
2026-04-14,REPSOL,PUERTO DEL ROSARIO,35,1.449,1.599
2026-04-14,BP LA HONDURA,PUERTO DEL ROSARIO,35,1.407,1.537
2026-04-14,DISA,PUERTO DEL ROSARIO,35,1.42,1.525
2026-04-14,DISA RIO CABRAS,PUERTO DEL ROSARIO,35,1.445,1.599
2026-04-14,DISA SECUNDINO ALONSO,PUERTO DEL ROSARIO,35,1.455,1.609
2026-04-14,PCAN GIL,PUERTO DEL ROSARIO,35,1.419,1.524
2026-04-14,H2GO MUELLE CHICO,PUERTO DEL ROSARIO,35,1.449,1.575
2026-04-14,MERCASOSA,PUERTO DEL ROSARIO,35,1.42,1.525
2026-04-14,MOEVE,PUERTO DEL ROSARIO,35,1.439,1.584
2026-04-14,DISA,SAN BARTOLOME,35,1.449,1.619
2026-04-14,REPSOL,PLAYA HONDA,35,1.469,1.639
2026-04-14,DISA MASPALOMAS,SAN FERNANDO,35,1.465,1.639
2026-04-14,MOEVE MASPALOMAS,MASPALOMAS,35,1.449,1.644
2026-04-14,PETROPRIX,MASPALOMAS,35,1.375,1.539
2026-04-14,REPSOL,TABLERO (EL),35,1.459,1.649
2026-04-14,DISA FATAGA,SAN BARTOLOME TIRAJANA,35,1.455,1.629
2026-04-14,CEPSA JUAN GRANDE,SAN BARTOLOME TIRAJANA,35,1.449,1.639
2026-04-14,SHELL JUAN GRANDE,SAN BARTOLOME TIRAJANA,35,1.475,1.659
2026-04-14,CEPSA TAXISTAS S.AGUSTIN,SAN BARTOLOME TIRAJANA,35,1.449,1.644
2026-04-14,DISA ,SAN BARTOLOME TIRAJANA,35,1.504,1.65
2026-04-14,BP EL VERIL,SAN BARTOLOME TIRAJANA,35,1.465,1.649
2026-04-14,SHELL MASPALOMAS,SAN BARTOLOME TIRAJANA,35,1.475,1.649
2026-04-14,BP SANTA BRIGIDA,SANTA BRIGIDA,35,1.459,1.659
2026-04-14,DISA,SANTA LUCIA,35,1.462,1.634
2026-04-14,SHELL VECINDARIO,SANTA LUCIA,35,1.505,1.679
2026-04-14,BP EL TARO,SANTA LUCIA,35,1.448,1.648
2026-04-14,OCÉANO SARDINA SUR,SANTA LUCIA,35,1.379,1.559
2026-04-14,MOEVE POZO IZQUIERDO,SANTA LUCIA,35,1.399,1.589
2026-04-14,SHELL SANTA LUCIA,SANTA LUCIA,35,1.505,1.679
2026-04-14,REPSOL,VECINDARIO,35,1.485,1.639
2026-04-14,BP DOCTORAL,DOCTORAL (EL),35,1.459,1.629
2026-04-14,REPSOL,CASA PASTORES,35,1.485,1.639
2026-04-14,ESTACION DE SERVICIO P44,CASA PASTORES,35,1.429,1.624
2026-04-14,MOEVE,SANTA MARIA DE GUIA,35,1.469,1.654
2026-04-14,BP GUIA,SANTA MARIA DE GUIA,35,1.465,1.649
2026-04-14,DISA GUIA,SANTA MARIA DE GUIA,35,1.485,1.639
2026-04-14,REPSOL,SANTA MARIA DE GUIA,35,1.475,1.629
2026-04-14,PLENERGY,BARRANQUILLO FRIO,35,1.379,1.489
2026-04-14,CEPSA,VILLA DE TEGUISE,35,1.465,1.635
2026-04-14,CEPSA,GUATIZA,35,1.465,1.635
2026-04-14,DISA COSTA TEGUISE,COSTA TEGUISE,35,1.485,1.639
2026-04-14,DISA TEGUISE GOLF,TEGUISE,35,1.485,1.639
2026-04-14,CEPSA TAHICHE II,TEGUISE,35,1.465,1.635
2026-04-14,CEPSA TAHICHE I,TEGUISE,35,1.465,1.635
2026-04-14,DISA TEJEDA,TEJEDA,35,1.479,1.649
2026-04-14,REPSOL,TELDE,35,1.449,1.639
2026-04-14,DISA CRUCE DE MELENARA,TELDE,35,1.475,1.649
2026-04-14,CEPSA EL CUBILLO,TELDE,35,1.439,1.629
2026-04-14,DISA EL ROQUE,TELDE,35,1.485,1.659
2026-04-14,SHELL TELDE,TELDE,35,1.485,1.659
2026-04-14,DISA TAXITEL,TELDE,35,1.475,1.649
2026-04-14,DISA PUNTO FIELATO,TELDE,35,1.485,1.659
2026-04-14,MOEVE,TELDE,35,1.439,1.634
